player_name,bookmaker,line,predicted_points,std_used,calibration_bin,p_over_model,p_under_model,p_over_market_novig,p_under_market_novig,edge_over,edge_under,best_side,best_edge
Walter Clayton Jr.,FanDuel,10.5,8.514121111718364,4.0,"(-3.0, -1.0]",0.37223247232472323,0.6277675276752768,0.46209273182957394,0.5379072681704261,-0.08986025950485071,0.08986025950485066,under,0.08986025950485066
Jarace Walker,DraftKings,14.5,13.605057439545009,4.082482904638616,"(-1.0, 0.0]",0.4211398277004639,0.5788601722995361,0.510397604391948,0.4896023956080519,-0.08925777669148416,0.08925777669148421,under,0.08925777669148421
Myles Turner,DraftKings,10.5,10.059179120512805,5.58171618371587,"(-1.0, 0.0]",0.4211398277004639,0.5788601722995361,0.510397604391948,0.4896023956080519,-0.08925777669148416,0.08925777669148421,under,0.08925777669148421
P.J. Washington,FanDuel,14.5,14.425106324319646,6.275171533733388,"(-1.0, 0.0]",0.4211398277004639,0.5788601722995361,0.5101214574898786,0.48987854251012153,-0.0889816297894147,0.0889816297894146,under,0.0889816297894146
Jayson Tatum,BetOnline.ag,19.5,19.079615031292644,5.473166867139699,"(-1.0, 0.0]",0.4211398277004639,0.5788601722995361,0.5082034454470877,0.49179655455291227,-0.08706361774662386,0.08706361774662386,under,0.08706361774662386
Zaccharie Risacher,FanDuel,7.5,8.73758595304749,6.059886320899274,"(1.0, 3.0]",0.5486425339366516,0.45135746606334837,0.46209273182957394,0.5379072681704261,0.08654980210707769,-0.08654980210707774,over,0.08654980210707769
Cason Wallace,FanDuel,6.5,8.088401015339713,4.2229531531066575,"(1.0, 3.0]",0.5486425339366516,0.45135746606334837,0.46209273182957394,0.5379072681704261,0.08654980210707769,-0.08654980210707774,over,0.08654980210707769
Dean Wade,FanDuel,5.5,7.236513278955624,5.138093031466052,"(1.0, 3.0]",0.5486425339366516,0.45135746606334837,0.46209273182957394,0.5379072681704261,0.08654980210707769,-0.08654980210707774,over,0.08654980210707769
Jabari Smith Jr,FanDuel,14.5,17.403937884704316,6.244108334173025,"(1.0, 3.0]",0.5486425339366516,0.45135746606334837,0.46209273182957394,0.5379072681704261,0.08654980210707769,-0.08654980210707774,over,0.08654980210707769
Cooper Flagg,FanDuel,21.5,21.3470102162192,4.501851470969101,"(-1.0, 0.0]",0.4211398277004639,0.5788601722995361,0.5060689431946916,0.4939310568053083,-0.08492911549422777,0.08492911549422782,under,0.08492911549422782
Nickeil Alexander-Walker,FanDuel,18.5,18.483955074403195,7.453559924999308,"(-1.0, 0.0]",0.4211398277004639,0.5788601722995361,0.5060689431946916,0.4939310568053083,-0.08492911549422777,0.08492911549422782,under,0.08492911549422782
Myles Turner,FanDuel,10.5,10.059179120512805,5.58171618371587,"(-1.0, 0.0]",0.4211398277004639,0.5788601722995361,0.5060689431946916,0.4939310568053083,-0.08492911549422777,0.08492911549422782,under,0.08492911549422782
Keldon Johnson,FanDuel,13.5,13.988128364207869,6.5149400952306875,"(0.0, 1.0]",0.45075445816186555,0.5492455418381345,0.532258064516129,0.4677419354838709,-0.08150360635426346,0.08150360635426357,under,0.08150360635426357
Bam Adebayo,FanDuel,20.5,21.40346231320777,15.0,"(0.0, 1.0]",0.45075445816186555,0.5492455418381345,0.532258064516129,0.4677419354838709,-0.08150360635426346,0.08150360635426357,under,0.08150360635426357
Bilal Coulibaly,FanDuel,14.5,15.003931163069087,7.786027371016763,"(0.0, 1.0]",0.45075445816186555,0.5492455418381345,0.532258064516129,0.4677419354838709,-0.08150360635426346,0.08150360635426357,under,0.08150360635426357
Keon Ellis,FanDuel,6.5,8.379709636405412,6.402256546631735,"(1.0, 3.0]",0.5486425339366516,0.45135746606334837,0.4677419354838709,0.532258064516129,0.08090059845278075,-0.08090059845278064,over,0.08090059845278075
Luguentz Dort,FanDuel,6.5,8.156007183304359,4.0,"(1.0, 3.0]",0.5486425339366516,0.45135746606334837,0.4677419354838709,0.532258064516129,0.08090059845278075,-0.08090059845278064,over,0.08090059845278075
Dyson Daniels,FanDuel,11.5,12.797106229412694,6.539622822966685,"(1.0, 3.0]",0.5486425339366516,0.45135746606334837,0.4677419354838709,0.532258064516129,0.08090059845278075,-0.08090059845278064,over,0.08090059845278075
Ausar Thompson,FanDuel,9.5,9.401155242143835,5.291502622129178,"(-1.0, 0.0]",0.4211398277004639,0.5788601722995361,0.5,0.5,-0.07886017229953612,0.07886017229953612,under,0.07886017229953612
Max Christie,FanDuel,11.5,11.420688365994529,4.0,"(-1.0, 0.0]",0.4211398277004639,0.5788601722995361,0.5,0.5,-0.07886017229953612,0.07886017229953612,under,0.07886017229953612
Jayson Tatum,FanDuel,19.5,19.079615031292644,5.473166867139699,"(-1.0, 0.0]",0.4211398277004639,0.5788601722995361,0.5,0.5,-0.07886017229953612,0.07886017229953612,under,0.07886017229953612
Donte DiVincenzo,BetOnline.ag,11.5,11.04005604109491,5.652924513519993,"(-1.0, 0.0]",0.4211398277004639,0.5788601722995361,0.5,0.5,-0.07886017229953612,0.07886017229953612,under,0.07886017229953612
Olivier-Maxence Prosper,FanDuel,11.5,12.379411236967645,4.0,"(0.0, 1.0]",0.45075445816186555,0.5492455418381345,0.5281576830249397,0.4718423169750604,-0.07740322486307416,0.07740322486307405,under,0.07740322486307405
Scoot Henderson,FanDuel,13.5,13.806299812615377,7.524773898411974,"(0.0, 1.0]",0.45075445816186555,0.5492455418381345,0.5281576830249397,0.4718423169750604,-0.07740322486307416,0.07740322486307405,under,0.07740322486307405
Jaxson Hayes,FanDuel,6.5,6.645080777658393,5.275730597114805,"(0.0, 1.0]",0.45075445816186555,0.5492455418381345,0.5281576830249397,0.4718423169750604,-0.07740322486307416,0.07740322486307405,under,0.07740322486307405
Christian Braun,FanDuel,11.5,14.282889420595543,6.779052703405956,"(1.0, 3.0]",0.5486425339366516,0.45135746606334837,0.4718423169750604,0.5281576830249397,0.07680021696159123,-0.07680021696159134,over,0.07680021696159123
Donte DiVincenzo,DraftKings,11.5,11.04005604109491,5.652924513519993,"(-1.0, 0.0]",0.4211398277004639,0.5788601722995361,0.4979225527671597,0.5020774472328402,-0.07678272506669581,0.07678272506669592,under,0.07678272506669592
Zaccharie Risacher,DraftKings,7.5,8.73758595304749,6.059886320899274,"(1.0, 3.0]",0.5486425339366516,0.45135746606334837,0.47193347193347185,0.528066528066528,0.07670906200317978,-0.07670906200317962,over,0.07670906200317978
Jabari Smith Jr,BetOnline.ag,14.5,17.403937884704316,6.244108334173025,"(1.0, 3.0]",0.5486425339366516,0.45135746606334837,0.4723111001722865,0.5276888998277135,0.07633143376436513,-0.07633143376436513,over,0.07633143376436513
